_id;timestamp;experiment;O1;O2;T3;T4;timestamp_ms;label
;2024-02-27T21:25:18,800Z;37;-0,62323700000000;-0,69115800000000;-1,14153000000000;-0,32947300000000;1709069118799;Noise
;2024-02-27T21:25:18,805Z;37;-0,62323700000000;-0,69115800000000;-1,14153000000000;-0,32947300000000;1709069118805;Noise
;2024-02-27T21:25:18,810Z;37;-0,62323700000000;-0,69115800000000;-1,14153000000000;-0,32947300000000;1709069118810;Noise
;2024-02-27T21:25:18,815Z;37;0,78566700000000;0,25853800000000;0,16189000000000;0,20446200000000;1709069118814;Noise
;2024-02-27T21:25:18,822Z;37;0,78566700000000;0,25853800000000;0,16189000000000;0,20446200000000;1709069118821;Noise
;2024-02-27T21:25:18,826Z;37;0,78566700000000;0,25853800000000;0,16189000000000;0,20446200000000;1709069118826;Noise
;2024-02-27T21:25:18,831Z;37;0,06414300000000;0,00964080000000;0,10438500000000;-0,34651200000000;1709069118831;Noise
;2024-02-27T21:25:18,836Z;37;0,65874400000000;0,00964080000000;0,10438500000000;-0,34651200000000;1709069118836;Noise
;2024-02-27T21:25:18,842Z;37;0,65874400000000;0,00964080000000;0,10438500000000;-0,34651200000000;1709069118842;Noise
;2024-02-27T21:25:18,847Z;37;-0,74894300000000;-0,18774100000000;-0,04970610000000;-0,40132100000000;1709069118847;Noise
;2024-02-27T21:25:18,851Z;37;-0,74894300000000;-0,18774100000000;-0,04970610000000;-0,40132100000000;1709069118851;Noise
;2024-02-27T21:25:18,855Z;37;-0,74894300000000;-0,18774100000000;-0,04970610000000;-0,40132100000000;1709069118855;Noise
;2024-02-27T21:25:18,860Z;37;-1,79611000000000;0,52460400000000;-1,16073000000000;-0,27064600000000;1709069118860;Noise
;2024-02-27T21:25:18,867Z;37;-1,39016000000000;0,52460400000000;-1,16073000000000;-0,27064600000000;1709069118866;Noise
;2024-02-27T21:25:18,872Z;37;-1,39016000000000;0,52460400000000;-1,16073000000000;-0,27064600000000;1709069118872;Noise
;2024-02-27T21:25:18,876Z;37;-1,26011000000000;0,49032200000000;0,73558200000000;-0,27186400000000;1709069118876;Noise
;2024-02-27T21:25:18,881Z;37;-1,26011000000000;0,52974400000000;0,73558200000000;-0,27186400000000;1709069118881;Noise
;2024-02-27T21:25:18,885Z;37;-0,74477100000000;0,52974400000000;-1,21834000000000;-0,00439248000000;1709069118885;Noise
;2024-02-27T21:25:18,890Z;37;-0,34942900000000;1,32284000000000;-1,40626000000000;0,22327500000000;1709069118890;Noise
;2024-02-27T21:25:18,895Z;37;-0,34942900000000;1,32284000000000;-1,40626000000000;0,22327500000000;1709069118894;Noise
;2024-02-27T21:25:18,899Z;37;-0,34942900000000;1,32284000000000;-1,40626000000000;0,22327500000000;1709069118899;Noise
;2024-02-27T21:25:18,904Z;37;-0,34942900000000;1,32284000000000;-1,40626000000000;0,22327500000000;1709069118903;Noise
;2024-02-27T21:25:18,908Z;37;0,12060500000000;1,69947000000000;2,38323000000000;0,49098300000000;1709069118908;Noise
;2024-02-27T21:25:18,912Z;37;0,12060500000000;1,69947000000000;2,38323000000000;0,49098300000000;1709069118912;Noise
;2024-02-27T21:25:18,917Z;37;-1,64039000000000;1,66378000000000;0,23101100000000;0,08503890000000;1709069118917;Noise
;2024-02-27T21:25:18,921Z;37;-1,64039000000000;1,66378000000000;0,23101100000000;0,08503890000000;1709069118921;Noise
